customer_id,customer_firstname,customer_lastname,customer_address
101,John,Doe,12 Elland Road
102,Jane,Smith,35 Conrad Lane
103,Joseph,Reid,14 Plymouth Lane
104,Nick,Adams,21 Concart Road
105,Isabel,Archer,36 Mountain Lane
106,Bilbo,Baggings,14 Plymouth Lane
107,Jake,Barnes,12 Elland Road
108,Pierre,Bezurkov,51 Lookout Street
109,Molly,Bloom,20 Riverside
110,Anthony,Blanke,35 Conrad Lane
111,Rupert,Birkin,21 Concart Road
112,Emma,Bovary,14 Plymouth Lane
113,Don ,Camilo,36 Mountain Lane
114,Nick,Carraway,51 Lookout Street
115,Philip,Carey,35 Conrad Lane
116,Nick,Carter,12 Elland Road
117,Holden,Caulifield,20 Riverside
118,Hans,Castorp,22 Carver Lane
119,Anna,Christie,36 Mountain Lane
120,Angel,Clare,22 Carver Lane
